Col,Energy,Contrast,Homo,Entropy,IDM,Mean
54,0.0542168,6364.4,0.205788,2.42094,0.235142,215.952
40,0.187976,1105.69,0.771699,1.55115,0.0362385,243.539
358,0.0442491,5379.29,0.338983,3.62245,0.0953468,179.14
66,0.430178,4175.94,0.691545,1.55291,0.0317528,231.618
0,0.000796196,10720.8,0.0903647,4.08411,0.051847,68.6563
46,0.145916,8028.6,0.445926,2.45287,0.0391092,205.626
52,0.555983,2582.56,0.787207,1.13444,0.0241386,242.862
48,0.589851,1439.6,0.790028,1.0622,0.0165859,243.676
358,0.330917,2035.97,0.651798,1.92717,0.0337892,226.427
354,0.00746989,8026.44,0.145143,4.04182,0.0368671,162.727
30,0.295405,7285.38,0.566115,2.12932,0.0184086,202.353
148,0.0881773,4076.39,0.34869,3.24175,0.028597,166.434
48,0.0340186,9407.15,0.270756,3.45991,0.0335962,188.318
54,0.0190738,13589.3,0.248252,3.45352,0.0554242,196.572
40,0.374456,4147.69,0.639052,1.73668,0.0248823,219.032
240,0.0743176,4746.24,0.367668,3.2369,0.0651298,162.05
358,0.455329,1840.94,0.830218,1.16074,0.0173707,239.277
212,0.336587,5775.79,0.615858,2.07461,0.0221193,209.696
14,0.75095,0.0262331,0.99622,0.275438,0.00367725,254.69
2,0.0948174,6500.3,0.363705,2.96083,0.0433596,202.44
214,0.978314,0.0377926,0.994011,0.0368223,0.00641447,254.989
204,0.627454,5528.34,0.801106,0.923373,0.00693157,233.586
34,0.012806,966.937,0.241038,3.25859,0.0500921,177.505
216,0.105494,6488.84,0.369846,3.13338,0.02278,161.176
0,0.00167061,3670.7,0.160171,3.82469,0.106522,146.811
50,0.527808,1526.47,0.748147,1.32291,0.0139194,231.593
70,0.00796751,7749.68,0.236768,3.36736,0.120184,190.748
344,0.238192,1347.03,0.813614,1.38982,0.0353805,238.223
44,0.681275,158.015,0.918184,0.567455,0.0306628,252.274
214,0.32386,3078.58,0.614189,1.93111,0.0233211,219.506
